,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5.18809354671523E-05,0.0186714974,0.0410577816,0.0488159373,0.0557617732,0.0976643943,0.1192680733,0.1555784059,0.1682383197,0.178066278,0.1898407971,0.1922340124,0.199206347,0.2023719014,0.202708225
1,0.0013014508,0.0076799108,0.0230703437,0.0367080346,0.0551716196,0.0658513724,0.0685863031,0.0966881444,0.106339602,0.1189780635,0.121712827,0.1262112594,0.1305793025,0.139523737,0.1500507166
2,0.0013903132,0.0065703933,0.0105848987,0.0144743714,0.0199050057,0.0266967651,0.0299838419,0.035652997,0.0386646279,0.0403059935,0.0438282929,0.044521887,0.0509470891,0.0516306983,0.0539046854
3,5.87714996069799E-06,0.0127510521,0.1254075069,0.1299300074,0.1362482872,0.1807435931,0.1909747321,0.1930612751,0.2008003683,0.245326196,0.2799284909,0.2923018726,0.2956628062,0.2990680307,0.2991603777
4,0.0006750228,0.0048683577,0.0369899981,0.0411905575,0.0887391938,0.0921431984,0.1002859484,0.1028911703,0.1047963787,0.1102071872,0.1386366082,0.1390660708,0.1565225757,0.1671731649,0.1686745532
5,0.0004420297,0.0017974714,0.01001962,0.0323881077,0.0371896002,0.0404036274,0.0417290145,0.0470780876,0.056579341,0.0628421378,0.0667965515,0.0678014289,0.0698581077,0.0785078182,0.0812808771
6,0,0.0254614149,0.0486230465,0.0496395061,0.088237127,0.1307412759,0.1383735423,0.1816362392,0.203690693,0.2190114244,0.2245034595,0.2275066031,0.2276356706,0.2306563343,0.2308268513
7,9.8511312917049E-06,0.0420282198,0.0624546186,0.0705888339,0.1006991543,0.1197692227,0.133511511,0.1716906829,0.1795611623,0.1835584152,0.1891617895,0.2002624141,0.2258620609,0.2378501759,0.2455725378
8,9.8511312917049E-06,0.0155540848,0.0347890437,0.0430351908,0.0682797653,0.1043117255,0.1173569106,0.1352901506,0.1430399321,0.1470682563,0.1525162531,0.1636418974,0.1859219895,0.1977408577,0.2038644738
9,3.92445727642743E-05,0.015315889,0.0319808632,0.0480064042,0.0595764806,0.0752641877,0.0955842681,0.1032315446,0.1116858324,0.1189234291,0.1275315932,0.1323895643,0.14738578,0.1607079156,0.1642121224
10,0.0013903132,0.0065703933,0.0105848987,0.0144743714,0.0199050057,0.0266967651,0.0299838419,0.035652997,0.0386646279,0.0403059935,0.0438282929,0.044521887,0.0509470891,0.0516306983,0.0539046854
11,0.0001714825,0.0087126433,0.0137101382,0.0213716953,0.0398306157,0.0598255062,0.0658098699,0.0739295862,0.0787904895,0.0828016816,0.0991381264,0.1013781385,0.1210764638,0.1235718021,0.1247129294
12,9.8511312917049E-06,0.0149972187,0.0463002433,0.0545768997,0.0961472466,0.1169978898,0.1293512195,0.1513877125,0.1588562506,0.1627769325,0.1680307652,0.1786196358,0.2022388482,0.2138757129,0.2196861379
13,0.0025476827,0.0110791186,0.0525152582,0.0666772698,0.0742750041,0.0881027526,0.0920389807,0.1036857622,0.1108493421,0.131421049,0.1344852682,0.1574537906,0.1664133786,0.1774951102,0.192402082
14,0.000101918,0.0087539523,0.0156943147,0.0243676153,0.0355757849,0.0465561878,0.0545498898,0.0802625969,0.0855035284,0.0890186493,0.1011493632,0.107171156,0.1345384617,0.1394917951,0.1411787848
15,0.000101918,0.0087539523,0.0156943147,0.0243676153,0.0355757849,0.0465561878,0.0545498898,0.0802625969,0.0855035284,0.0890186493,0.1011493632,0.107171156,0.1345384617,0.1394917951,0.1411787848
16,3.09625923344825E-07,0.0013839116,0.2705033829,0.2745593454,0.3265636359,0.3597847252,0.3648742072,0.4101093734,0.4116162625,0.4148231336,0.4289785584,0.4324324153,0.4594641054,0.6240945133,0.6489199525
17,0.0023559662,0.0053382616,0.0099046467,0.0150970417,0.0185005197,0.0249843786,0.0273115061,0.0311932618,0.0340815606,0.0353326943,0.0376198721,0.0385487378,0.1096980307,0.1108850221,0.1161319624
18,3.29626645945158E-06,0.0375182245,0.16739986,0.2407506501,0.3647953186,0.399022164,0.4043167428,0.4221562691,0.4360322878,0.4534066385,0.4715096426,0.478655534,0.5311504223,0.5343382255,0.5366108929
19,0.0104192084,0.0179458479,0.057844731,0.0710718113,0.0785715307,0.0922899187,0.0956653366,0.1085857802,0.1155856947,0.147466022,0.1502225988,0.1605511019,0.1702489437,0.2081109673,0.2244036567
20,0.0092165525,0.0127138906,0.0167163504,0.0274208589,0.0314070366,0.0385106137,0.0418678075,0.0468217256,0.0495216149,0.0507779847,0.0533973102,0.0558342522,0.085087816,0.0858588206,0.0894849151
21,0.0015955539,0.0131581949,0.0343722226,0.0508971909,0.0586576671,0.082330744,0.0878875303,0.0990252872,0.1062388602,0.1240855655,0.1281689982,0.1350816233,0.140701883,0.1491339964,0.1590602871
22,0.001620959,0.0125945361,0.0408479002,0.0569161953,0.0646748012,0.0813998101,0.095659595,0.1067672208,0.1139245465,0.1316590394,0.1352264783,0.142197013,0.1479023135,0.1564106151,0.1664432684
23,7.6732657718126E-05,0.0141060081,0.0169325873,0.0200415219,0.0310577439,0.0337100763,0.070491757,0.0846234402,0.0865848169,0.0902123171,0.0918396459,0.0942545842,0.0956264918,0.0960108177,0.0962349323
24,0.0008939962,0.0126322185,0.0319041295,0.0549504223,0.0655163867,0.0888623285,0.0940662756,0.1273455481,0.1413020422,0.1639517051,0.1702488858,0.1803329767,0.1853615393,0.1945495747,0.2033181436
25,0.0004891208,0.0121459812,0.0339996758,0.0674904773,0.0807510343,0.0951742093,0.1014104607,0.1179861692,0.143499732,0.1792527289,0.1909098979,0.2067717375,0.2118307728,0.2240327463,0.234790452
26,4.68795489130258E-05,0.0020647368,0.0036061455,0.0043884262,0.0077846182,0.0203761542,0.0228915829,0.0270082037,0.0323853152,0.0387903297,0.0399596562,0.0582315784,0.0586386908,0.0619004104,0.0620156663
27,0.0017056398,0.0114663928,0.0326343453,0.0476531584,0.0551924206,0.0700438246,0.0747785412,0.0857511288,0.0927788621,0.1110815166,0.1141606355,0.121296274,0.1273012642,0.1360010042,0.1464480907
28,0.0001714825,0.0087126433,0.0137101382,0.0213716953,0.0398306157,0.0598255062,0.0658098699,0.0739295862,0.0787904895,0.0828016816,0.0991381264,0.1013781385,0.1210764638,0.1235718021,0.1247129294
29,0.0017998889,0.0063740785,0.0104574651,0.0145414562,0.0195277961,0.026060241,0.029654985,0.0457577152,0.0492655555,0.0506976523,0.0537448898,0.0546277031,0.0626640434,0.0633978982,0.0662815376
30,0.0003639433,0.0075098024,0.0120249689,0.0177898552,0.0388109818,0.0699916664,0.0749980647,0.0985250286,0.1016664234,0.1063446503,0.1164583994,0.117593717,0.1220052693,0.1231251128,0.1240282193
31,0.0005406186,0.0023659687,0.0140382006,0.0256230711,0.0306007476,0.0348237929,0.036285554,0.0426079139,0.0517056283,0.0573306673,0.0631667216,0.0643521841,0.0663452298,0.0728774639,0.0757901998
