,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.2437536202,0.3922755204,0.4339545256,0.4514410784,0.4620336754,0.4970622651,0.5227012469,0.5229254642,0.5234309393,0.5264746489,0.5309485462,0.5310096852,0.5311895952,0.5379007353,0.5379327935
1,0.062808983,0.089728719,0.1114967588,0.1267135777,0.1538024621,0.1570547286,0.1602639818,0.1604444116,0.1606791267,0.1612620985,0.161275946,0.1613507612,0.1680108448,0.168517233,0.1687646829
2,0.0882756407,0.1075727265,0.1231087924,0.1344360987,0.1371208991,0.1398274913,0.1403327027,0.142743863,0.1428192499,0.1428350363,0.1428357766,0.1429015876,0.1429078311,0.1430536478,0.1430567095
3,0.1054498114,0.2211653852,0.2760374721,0.3197222029,0.3230991068,0.4679121792,0.4679689013,0.4688351062,0.4689009892,0.4689067762,0.4689070162,0.4695029442,0.4695035692,0.4695772466,0.4695865793
4,0.2455953856,0.2963080028,0.4952409264,0.5086634954,0.5197790647,0.5766920595,0.5844701128,0.5880332897,0.6001137072,0.6002291822,0.6003179099,0.6006567179,0.6006573377,0.6058373671,0.6058381714
5,0.0086895276,0.0125592217,0.0141719752,0.0161161989,0.0180108425,0.0184523949,0.018589297,0.0188360707,0.0188564646,0.0189728733,0.0189762058,0.0189813486,0.0191513887,0.0194262694,0.0194625112
6,0.2052661508,0.3890770418,0.4911268359,0.5522891138,0.6260434732,0.6305113754,0.6308427361,0.632587653,0.6331258577,0.6339406258,0.6339444322,0.6403926685,0.6403926685,0.6404076081,0.6404076081
7,0.1873901864,0.2537708253,0.3017344703,0.3250952039,0.3437242242,0.3514255848,0.3728121972,0.3769722854,0.3791235528,0.3795447447,0.3795463857,0.3803752112,0.3804659364,0.3820486825,0.3820825979
8,0.183865094,0.2775941796,0.3207951906,0.3416291093,0.3648753064,0.3727540457,0.3827837021,0.3861788801,0.3879750298,0.388347061,0.388348702,0.389101499,0.3891912486,0.3906361051,0.390668447
9,0.1568532558,0.2388182748,0.292222048,0.3150417028,0.3350349131,0.3424135949,0.353429479,0.3569175611,0.3595496959,0.3600561575,0.3600577985,0.3610333628,0.3611306574,0.3628695601,0.3629026864
10,0.0882756407,0.1075727265,0.1231087924,0.1344360987,0.1371208991,0.1398274913,0.1403327027,0.142743863,0.1428192499,0.1428350363,0.1428357766,0.1429015876,0.1429078311,0.1430536478,0.1430567095
11,0.140786788,0.2127996104,0.2507591041,0.2804654643,0.2968899926,0.3057645627,0.3183373164,0.3217120627,0.323106575,0.3233224482,0.3233240892,0.3266173952,0.3269018384,0.3307713159,0.330788892
12,0.1553509714,0.2589901584,0.2987923313,0.3159964003,0.3311746148,0.3470947224,0.3558273636,0.3587012393,0.3602431114,0.3607613221,0.3607629632,0.3614253467,0.3615040943,0.3628285128,0.3628481295
